Spin,Number,Net Result,Cumulative,Bet zero,Bet first_dozen,Bet second_dozen,Bet black,Bet even,Total Bet
1,0,-25,-25,1,12,12,18,18,61
2,10,95,70,1,24,24,36,36,121
3,2,10,80,2,12,48,18,18,98
4,10,-39,41,3,12,96,18,18,147
5,11,-172,-131,4,12,192,18,18,244
6,10,-311,-442,5,12,384,18,36,455
7,8,-714,-1156,6,12,768,18,18,822
8,16,3053,1897,7,12,1536,18,18,1591
9,18,-26,1871,8,24,12,36,18,98
10,36,-123,1748,9,48,12,72,18,159
11,18,-184,1564,10,96,24,144,18,292
12,16,-448,1116,10,192,12,288,18,520
13,36,-964,152,10,384,12,576,18,1000
14,8,2672,2824,10,768,24,1152,18,1972
15,6,2,2826,10,12,48,18,18,106
16,32,-118,2708,10,12,96,18,18,154
17,15,368,3076,10,24,192,36,18,280
18,11,56,3132,10,48,12,18,36,124
19,13,-28,3104,10,12,24,18,72,136
20,11,-100,3004,10,24,12,18,144,208
21,8,296,3300,10,12,24,18,288,352
22,15,74,3374,10,12,48,18,18,106
23,11,8,3382,10,24,12,18,36,100
24,17,-28,3354,10,12,24,18,72,136
25,16,116,3470,10,24,12,18,144,208
26,3,20,3490,10,48,12,36,18,124
27,12,-46,3444,10,12,24,72,36,154
28,7,-196,3248,10,12,48,144,18,232
29,16,-82,3166,10,12,96,288,36,442
30,18,-568,2598,10,24,12,576,18,640
31,0,-880,1718,10,48,12,1152,18,1240
32,0,-2425,-707,1,96,24,2304,36,2461
33,3,-4345,-5052,1,192,48,4608,72,4921
34,4,9286,4234,2,12,96,9216,144,9470
35,17,369,4603,3,12,192,18,18,243
36,10,86,4689,4,24,12,18,36,94
37,10,31,4720,5,12,24,18,18,77
38,15,78,4798,6,12,48,18,18,102
39,2,83,4881,7,24,12,18,36,97
40,13,28,4909,8,12,24,18,18,80
41,10,81,4990,9,24,12,18,36,99
42,7,-46,4944,10,12,24,18,18,82
43,12,-34,4910,10,12,48,36,36,142
44,1,-172,4738,10,12,96,72,18,208
45,3,-358,4380,10,12,192,144,36,394
46,5,-730,3650,10,12,384,288,72,766
47,16,1082,4732,10,12,768,576,144,1510
48,16,-1144,3588,10,24,12,1152,18,1216
49,4,2396,5984,10,48,12,2304,18,2392
50,36,-46,5938,10,12,24,18,18,82
51,36,-100,5838,10,24,48,36,18,136
52,12,-64,5774,10,48,96,72,18,244
53,1,-340,5434,10,12,192,144,18,376
54,3,-694,4740,10,12,384,288,36,730
55,14,1010,5750,10,12,768,576,72,1438
56,6,1196,6946,10,24,12,1152,18,1216
57,16,26,6972,10,12,24,18,18,82
58,32,-64,6908,10,24,12,36,18,100
59,18,-64,6844,10,48,24,72,18,172
60,2,332,7176,10,96,12,144,18,280
61,16,26,7202,10,12,24,18,18,82
62,13,8,7210,10,24,12,36,18,100
63,11,56,7266,10,48,12,18,36,124
64,6,80,7346,10,12,24,18,72,136
65,15,74,7420,10,12,48,18,18,106
66,8,80,7500,10,24,12,18,36,100
67,8,26,7526,10,12,24,18,18,82
68,2,2,7528,10,12,48,18,18,106
69,15,170,7698,10,12,96,18,18,154
70,15,-28,7670,10,24,12,18,36,100
71,4,164,7834,10,48,12,18,72,160
72,13,26,7860,10,12,24,18,18,82
73,10,80,7940,10,24,12,18,36,100
74,7,-46,7894,10,12,24,18,18,82
75,16,74,7968,10,12,48,36,36,142
76,18,-64,7904,10,24,12,72,18,136
77,3,-88,7816,10,48,12,144,18,232
78,5,-334,7482,10,12,24,288,36,370
79,3,-682,6800,10,12,48,576,72,718
80,3,-1378,5422,10,12,96,1152,144,1414
81,9,-2770,2652,10,12,192,2304,288,2806
82,7,-5554,-2902,10,12,384,4608,576,5590
83,3,-11122,-14024,10,12,768,9216,1152,11158
84,18,-13078,-27102,10,12,1536,18432,2304,22294
85,10,36908,9806,10,24,12,36864,18,36928
86,32,-46,9760,10,12,24,18,18,82
87,36,-100,9660,10,24,48,36,18,136
88,14,80,9740,10,48,96,72,18,244
89,12,44,9784,10,96,12,144,18,280
90,18,-244,9540,10,12,24,288,18,352
91,12,-532,9008,10,24,12,576,18,640
92,12,-1144,7864,10,12,24,1152,18,1216
93,14,-2212,5652,10,12,48,2304,18,2392
94,8,4652,10304,10,24,12,4608,18,4672
95,6,26,10330,10,12,24,18,18,82
